GENNME_manual	postpartum	parsed_dict	CUIs	ATCs	level1	level2	level3	count_all	count_pkpect	count_pect	count_pk	count_pe	count_ct	count_vc	count_fbnstp	count_biomarker
Varicella-Zoster Immune Globulin	0	{'C0078049': {'39385'}, 'C1372952': {'485576'}, 'C4034099': {'1658017'}, 'C4033815': {'1658019'}, 'C1248521': {'374439'}, 'C3218842': {'1164569'}, 'C4060348': {'1726187'}, 'C1176942': {'358801'}, 'C4060137': {'1726189'}, 'C1700633': {'1365975'}, 'C3531036': {'1365978'}}	{'C1176942', 'C1700633', 'C0078049', 'C4033815', 'C1372952', 'C3531036', 'C3218842', 'C1248521', 'C4034099', 'C4060137', 'C4060348'}	['J06BB']	['J']	['J06']	['J06B']	8	7	7	0	7	0	3	0	1
Vedolizumab	14	{'C2742797': {'1538097'}, 'C4034129': {'1656996'}, 'C3831929': {'1538135'}, 'C4034047': {'1656995'}, 'C5853765': {'2667331'}, 'C5853772': {'2667338'}, 'C4033864': {'1656999'}, 'C5853764': {'2667330'}, 'C5853769': {'2667335'}, 'C5853775': {'2667341'}, 'C4033760': {'1656998'}, 'C5853768': {'2667334'}, 'C3715224': {'1538138'}, 'C3831934': {'1538141'}}	{'C4033864', 'C5853764', 'C5853775', 'C3831934', 'C2742797', 'C3831929', 'C4034047', 'C4033760', 'C5853765', 'C5853769', 'C4034129', 'C5853772', 'C5853768', 'C3715224'}	['L04AG', 'L04AA']	['L']	['L04']	['L04A']	12	11	11	5	11	3	1	0	1
Velaglucerase Alfa	0	{'C2919267': {'901805'}, 'C4060388': {'1727288'}, 'C3218844': {'1164571'}, 'C4060178': {'1727291'}, 'C4060326': {'1727287'}, 'C4060111': {'1727290'}, 'C2746145': {'901809'}, 'C3241339': {'1187597'}}	{'C3218844', 'C4060111', 'C4060388', 'C2746145', 'C4060178', 'C4060326', 'C3241339', 'C2919267'}	['A16AB']	['A']	['A16']	['A16A']	0	0	0	0	0	0	0	0	0
Vemurafenib	0	{'C3192263': {'1147220'}, 'C3214872': {'1160509'}, 'C3192265': {'1147222'}, 'C3214871': {'1160508'}, 'C3192264': {'1147221'}, 'C3192268': {'1147225'}, 'C3192270': {'1147227'}, 'C3192267': {'1147224'}, 'C3240977': {'1187235'}, 'C3240976': {'1187234'}}	{'C3240976', 'C3214872', 'C3192268', 'C3192264', 'C3192270', 'C3240977', 'C3214871', 'C3192267', 'C3192263', 'C3192265'}	['L01EC']	['L']	['L01']	['L01E']	0	0	0	0	0	0	0	0	0
Venetoclax	1	{'C4079830': {'1747556'}, 'C4225101': {'1747559'}, 'C4225102': {'1747558'}, 'C4085667': {'1747560'}, 'C4225057': {'1747573'}, 'C4225059': {'1747557'}, 'C4225058': {'1747571'}, 'C4224924': {'1747576'}, 'C4224923': {'1747578'}, 'C4224972': {'1747564'}, 'C4224925': {'1747563'}, 'C4224858': {'1747562'}, 'C4225010': {'1747566'}, 'C4225011': {'1747565'}}	{'C4225101', 'C4224924', 'C4224923', 'C4079830', 'C4085667', 'C4225010', 'C4225102', 'C4224925', 'C4224972', 'C4225058', 'C4224858', 'C4225059', 'C4225011', 'C4225057'}	['L01XX']	['L']	['L01']	['L01X']	0	0	0	0	0	0	0	0	0
Venlafaxine	3275	{'C0078569': {'39786'}, 'C0771200': {'235988'}, 'C5678685': {'2607741'}, 'C3218848': {'1164575'}, 'C1248363': {'374285'}, 'C5679326': {'2605948'}, 'C3218847': {'1164574'}, 'C1123786': {'328800'}, 'C1123787': {'328801'}, 'C2346347': {'801848'}, 'C1126595': {'330822'}, 'C1127321': {'331427'}, 'C1123784': {'328798'}, 'C1123785': {'328799'}, 'C5679486': {'2605949'}, 'C1603708': {'569500'}, 'C1243183': {'369178'}, 'C1965358': {'729930'}, 'C1603710': {'569502'}, 'C1603707': {'569499'}, 'C1384130': {'452534'}, 'C2341007': {'452535'}, 'C1965357': {'729928'}, 'C0591437': {'151692'}, 'C3227261': {'1173220'}, 'C3227260': {'1173219'}, 'C1603706': {'569498'}, 'C1603705': {'569497'}}	{'C1123784', 'C1603707', 'C1123785', 'C0771200', 'C1123787', 'C1243183', 'C3227261', 'C5678685', 'C1603708', 'C1965357', 'C5679326', 'C1603710', 'C2341007', 'C1603706', 'C1248363', 'C3218848', 'C0591437', 'C3227260', 'C1965358', 'C1384130', 'C1123786', 'C2346347', 'C1603705', 'C1127321', 'C3218847', 'C1126595', 'C0078569', 'C5679486'}	['N06AX', 'N06AX']	['N']	['N06']	['N06A']	26	26	21	18	21	3	0	5	5
Verapamil	325	{'C0042523': {'11170'}, 'C0700468': {'203138'}, 'C4050993': {'1665056'}, 'C3214875': {'1160513'}, 'C0360708': {'1160512'}, 'C3214873': {'1160510'}, 'C1123819': {'328824'}, 'C1248367': {'374289'}, 'C1962299': {'727700'}, 'C1305827': {'393163'}, 'C1253646': {'379252'}, 'C0305525': {'92052'}, 'C3214874': {'1160511'}, 'C1249448': {'375337'}, 'C1248368': {'374290'}, 'C0010007': {'2849'}, 'C0700933': {'203489'}, 'C0700935': {'203490'}, 'C0591165': {'151425'}, 'C0592105': {'152351'}, 'C0592775': {'152747'}, 'C0594483': {'153370'}, 'C0724231': {'220778'}, 'C0730931': {'225752'}, 'C1253994': {'379563'}, 'C1253997': {'379566'}, 'C1254008': {'379577'}, 'C2741598': {'901519'}, 'C3220859': {'1166644'}, 'C3221317': {'1167123'}, 'C3223650': {'1169512'}, 'C3223652': {'1169514'}, 'C3224589': {'1170472'}, 'C3224994': {'1170879'}, 'C3226275': {'1172214'}, 'C3226425': {'1172366'}, 'C3230086': {'1176134'}, 'C3231653': {'1177737'}, 'C3240118': {'1186366'}, 'C3241620': {'1187886'}, 'C3241626': {'1187892'}, 'C3220858': {'1166643'}, 'C3221316': {'1167122'}, 'C3223649': {'1169511'}, 'C3223651': {'1169513'}, 'C3224588': {'1170471'}, 'C3224993': {'1170878'}, 'C3226274': {'1172213'}, 'C3226424': {'1172365'}, 'C3230085': {'1176133'}, 'C3231643': {'1177727'}, 'C3240117': {'1186365'}, 'C3241619': {'1187885'}, 'C3241625': {'1187891'}, 'C0306485': {'92992'}, 'C1253985': {'379554'}, 'C1253991': {'379560'}, 'C1253992': {'379561'}, 'C1253998': {'379567'}, 'C1254000': {'379569'}, 'C1241105': {'367136'}, 'C1241110': {'367141'}, 'C1253995': {'379564'}, 'C1254009': {'379578'}, 'C1254010': {'379579'}, 'C2724513': {'876534'}, 'C2726847': {'885399'}, 'C2741600': {'901521'}}	{'C3230086', 'C3241625', 'C0592105', 'C3223649', 'C0592775', 'C3221317', 'C0724231', 'C3230085', 'C1123819', 'C3231653', 'C3226275', 'C3226274', 'C1253985', 'C1254009', 'C0591165', 'C3224589', 'C0730931', 'C0010007', 'C1248367', 'C0700468', 'C1962299', 'C3241626', 'C0306485', 'C1241105', 'C2741600', 'C0360708', 'C3220859', 'C3240118', 'C1254000', 'C1253992', 'C1253995', 'C3221316', 'C3223652', 'C3214874', 'C2724513', 'C1253998', 'C3241620', 'C4050993', 'C3220858', 'C3231643', 'C3240117', 'C3223650', 'C3223651', 'C3224588', 'C1253997', 'C0594483', 'C1253991', 'C0042523', 'C1305827', 'C1241110', 'C1254010', 'C0700935', 'C2741598', 'C1253646', 'C3241619', 'C3226425', 'C3214873', 'C1249448', 'C0305525', 'C1253994', 'C3224993', 'C0700933', 'C2726847', 'C3214875', 'C1254008', 'C3224994', 'C1248368', 'C3226424'}	['C08DA', 'C09BB']	['C']	['C09', 'C08']	['C08D', 'C09B']	23	23	23	4	23	2	0	1	1
Vibegron	1	{'C4279743': {'2472254'}, 'C5433193': {'2472313'}, 'C5433192': {'2472312'}, 'C5433160': {'2472311'}, 'C5433178': {'2472314'}, 'C5433119': {'2472318'}, 'C5433098': {'2472317'}, 'C5433067': {'2472316'}, 'C5433134': {'2472320'}, 'C5433133': {'2472319'}}	{'C5433192', 'C5433067', 'C5433119', 'C4279743', 'C5433098', 'C5433160', 'C5433134', 'C5433178', 'C5433193', 'C5433133'}	['G04BD']	['G']	['G04']	['G04B']	0	0	0	0	0	0	0	0	0
Vigabatrin	0	{'C0048044': {'14851'}, 'C3214883': {'1160521'}, 'C1248369': {'374291'}, 'C3214882': {'1160520'}, 'C1129900': {'333433'}, 'C5920154': {'2685216'}, 'C5873735': {'2668478'}, 'C4695084': {'2047864'}, 'C4529381': {'1946398'}, 'C5920106': {'2685222'}, 'C5920146': {'2685214'}, 'C5920165': {'2685215'}, 'C5828066': {'2642352'}, 'C2719720': {'860893'}, 'C2719721': {'860894'}, 'C4529382': {'1946399'}, 'C5920093': {'2685219'}, 'C5873777': {'2668481'}, 'C4529383': {'1946401'}, 'C4695085': {'2047865'}, 'C0592085': {'152332'}, 'C4695083': {'2047863'}, 'C5873670': {'2668477'}, 'C5920048': {'2685218'}, 'C3238013': {'1184195'}, 'C5828097': {'2642351'}, 'C3238012': {'1184194'}, 'C4695086': {'2047866'}, 'C5873803': {'2668479'}, 'C5920125': {'2685220'}, 'C4529384': {'1946402'}, 'C4695087': {'2047867'}, 'C5873804': {'2668480'}, 'C5920126': {'2685221'}}	{'C4695086', 'C5873804', 'C5920154', 'C5920165', 'C4529382', 'C3238012', 'C5873803', 'C4529383', 'C4695085', 'C5873777', 'C3214882', 'C4695087', 'C4695083', 'C0048044', 'C1248369', 'C0592085', 'C5920093', 'C1129900', 'C5873735', 'C5920048', 'C5920125', 'C2719721', 'C3238013', 'C4529381', 'C2719720', 'C3214883', 'C5920146', 'C5920106', 'C5828097', 'C4695084', 'C5873670', 'C5828066', 'C5920126', 'C4529384'}	['N03AG']	['N']	['N03']	['N03A']	11	11	11	2	9	2	0	1	0
Vilazodone	371	{'C1530072': {'1086769'}, 'C2962546': {'1086768'}, 'C3218852': {'1164579'}, 'C3218851': {'1164578'}, 'C2962548': {'1086771'}, 'C2962552': {'1086775'}, 'C2962550': {'1086773'}, 'C3240353': {'1186601'}, 'C3240352': {'1186600'}}	{'C3240353', 'C3218852', 'C3240352', 'C3218851', 'C2962546', 'C2962548', 'C1530072', 'C2962550', 'C2962552'}	['N06AX']	['N']	['N06']	['N06A']	0	0	0	0	0	0	0	0	0
