Level code,Preferred Label,ATC LEVEL
A03AA09,difemerine,5
A03AA30,piperidolate,5
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds for functional gastrointestinal disorders",4
A03AB01,benzilone,5
A03AB02,glycopyrronium bromide,5
A03AB03,oxyphenonium,5
A03AB04,penthienate,5
A03AB05,propantheline,5
A03AB06,otilonium bromide,5
A03AB07,methantheline,5
A03AB08,tridihexethyl,5
A03AB09,isopropamide,5
A03AB10,hexocyclium,5
A03AB11,poldine,5
A03AB12,mepenzolate,5
A03AB13,bevonium,5
A03AB14,pipenzolate,5
A03AB15,diphemanil,5
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,5
A03AB17,tiemonium iodide,5
A03AB18,prifinium bromide,5
A03AB19,timepidium bromide,5
A03AB21,fenpiverinium,5
A03AB53,"oxyphenonium, combinations",5
A03AC,"Synthetic antispasmodics, amides with tertiary amines for functional gastrointestinal disorders",4
A03AC02,dimethylaminopropionylphenothiazine,5
A03AC04,nicofetamide,5
A03AC05,tiropramide,5
A03AD,Papaverine and derivatives containing drugs for functional gastrointestinal disorders,4
A03AD01,papaverine,5
A03AD02,drotaverine,5
A03AD30,moxaverine,5
A03AE,Serotonin receptor antagonists for functional gastrointestinal disorders,4
A03AE01,alosetron,5
A03AE03,cilansetron,5
A03AX,Other drugs for functional gastrointestinal disorders in ATC,4
A03AX01,fenpiprane,5
A03AX02,diisopromine,5
A03AX03,chlorbenzoxamine,5
A03AX04,pinaverium,5
A03AX05,fenoverine,5
A03AX06,idanpramine,5
A03AX07,proxazole,5
A03AX08,alverine,5
A03AX09,trepibutone,5
A03AX10,isometheptene,5
A03AX11,caroverine,5
A03AX12,phloroglucinol,5
A03AX13,silicones,5
A03AX14,valethamate,5
A03AX15,menthae piperitae aetheroleum,5
A03AX30,trimethyldiphenylpropylamine,5
A03AX58,"alverine, combinations",5
A03B,"BELLADONNA AND DERIVATIVES CONTAINING DRUGS, PLAIN FOR FUNCTIONAL GASTROINTESTINAL DISORDERS",3
A03BA,"Belladonna alkaloids, tertiary amines for functional gastrointestinal disorders",4
A03BA01,atropine,5
A03BA03,hyoscyamine,5
A03BA04,belladonna total alkaloids,5
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds for functional gastrointestinal disorders",4
A03BB01,butylscopolamine,5
A03BB02,methylatropine,5
A03BB03,methylscopolamine,5
A03BB04,fentonium,5
A03BB05,cimetropium bromide,5
A03BB06,homatropine methylbromide,5
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,3
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,4
A03CA01,isopropamide and psycholeptics,5
A03CA02,clidinium and psycholeptics,5
A03CA03,oxyphencyclimine and psycholeptics,5
A03CA04,otilonium bromide and psycholeptics,5
A03CA05,glycopyrronium bromide and psycholeptics,5
A03CA06,bevonium and psycholeptics,5
A03CA07,ambutonium and psycholeptics,5
A03CA08,diphemanil and psycholeptics,5
A03CA09,pipenzolate and psycholeptics,5
A03CA30,emepronium and psycholeptics,5
A03CA34,propantheline and psycholeptics,5
A03CB,Belladonna and derivatives in combination with psycholeptics,4
A03CB01,methylscopolamine and psycholeptics,5
A03CB02,belladonna total alkaloids and psycholeptics,5
A03CB03,atropine and psycholeptics,5
A03CB04,homatropine methylbromide and psycholeptics,5
A03CB31,hyoscyamine and psycholeptics,5
A03CC,Other antispasmodics in combination with psycholeptics in ATC,4
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,3
A03DA,Synthetic anticholinergic agents in combination with analgesics,4
A03DA01,tropenzilone and analgesics,5
A03DA02,pitofenone and analgesics,5
A03DA03,bevonium and analgesics,5
A03DA04,ciclonium and analgesics,5
A03DA05,camylofin and analgesics,5
A03DA06,trospium and analgesics,5
A03DA07,tiemonium iodide and analgesics,5
A03DB,Belladonna and derivatives in combination with analgesics,4
A03DB04,butylscopolamine and analgesics,5
A03DC,Other antispasmodics in combination with analgesics in ATC,4
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,3
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",4
A03ED,Antispasmodics in combination with other drugs,4
A03F,PROPULSIVES,3
A03FA,Propulsives,4
A03FA01,metoclopramide,5
A03FA02,cisapride,5
A03FA03,domperidone,5
A03FA04,bromopride,5
A03FA05,alizapride,5
A03FA06,clebopride,5
A03FA07,itopride,5
A03FA08,cinitapride,5
A03FA09,mosapride,5
A03FA10,acotiamide,5
A04,ANTIEMETICS AND ANTINAUSEANTS,2
A04A,ANTIEMETICS AND ANTINAUSEANTS,3
A04AA,Serotonin (5HT3) antagonists,4
A04AA01,ondansetron,5
A04AA02,granisetron,5
A04AA03,tropisetron,5
A04AA04,dolasetron,5
A04AA05,palonosetron,5
A04AA55,"palonosetron, combinations",5
A04AD,Other antiemetics in ATC,4
A04AD01,scopolamine,5
A04AD02,cerium oxalate,5
A04AD04,chlorobutanol,5
A04AD05,metopimazine,5
A04AD10,dronabinol,5
A04AD11,nabilone,5
A04AD12,aprepitant,5
A04AD13,casopitant,5
A04AD14,rolapitant,5
A04AD51,"scopolamine, combinations",5
A04AD54,"chlorobutanol, combinations",5
A05,BILE AND LIVER THERAPY DRUGS,2
A05A,BILE THERAPY DRUGS,3
A05AA,Bile acids and derivatives for bile therapy,4
A05AA01,chenodeoxycholic acid,5
A05AA02,ursodeoxycholic acid,5
A05AA03,cholic acid,5
A05AA04,obeticholic acid,5
A05AA05,ursodoxicoltaurine,5
A05AB,Preparations for biliary tract therapy,4
A05AB01,nicotinyl methylamide,5
A05AX,Other drugs for bile therapy in ATC,4
A05AX01,piprozolin,5
A05AX02,hymecromone,5
A05AX03,cyclobutyrol,5
A05AX04,maralixibat chloride,5
A05AX05,odevixibat,5
A05AX06,elafibranor,5
A05B,"LIVER THERAPY, LIPOTROPICS",3
A05BA,Liver therapy drugs,4
A05BA01,arginine glutamate,5
A05BA03,silymarin,5
A05BA04,citiolone,5
A05BA05,epomediol,5
A05BA06,ornithine oxoglurate,5
A05BA07,tidiacic arginine,5
A05BA08,glycyrrhizic acid,5
A05BA09,metadoxine,5
A05BA10,phospholipids,5
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,3
A06,DRUGS FOR CONSTIPATION,2
A06A,DRUGS FOR CONSTIPATION,3
A06AA,"Softeners, emollients",4
A06AA01,liquid paraffin,5
A06AA02,docusate sodium,5
A06AA51,"liquid paraffin, combinations",5
A06AB,Contact laxatives,4
A06AB01,oxyphenisatine,5
A06AB02,bisacodyl,5
A06AB03,dantron,5
A06AB04,phenolphthalein,5
A06AB05,castor oil,5
A06AB06,senna glycosides,5
A06AB07,cascara,5
A06AB08,sodium picosulfate,5
A06AB09,bisoxatin,5
A06AB20,contact laxatives in combination,5
A06AB30,contact laxatives in combination with belladonna alkaloids,5
A06AB52,"bisacodyl, combinations",5
A06AB53,"dantron, combinations",5
A06AB56,"senna glycosides, combinations",5
A06AB57,"cascara, combinations",5
A06AB58,"sodium picosulfate, combinations",5
A06AC,Bulk-forming laxatives,4
A06AC01,ispaghula (psylla seeds),5
A06AC02,ethulose,5
A06AC03,sterculia,5
A06AC05,linseed,5
A06AC06,methylcellulose,5
A06AC07,triticum (wheat fibre),5
A06AC08,polycarbophil calcium,5
A06AC51,"ispaghula, combinations",5
A06AC53,"sterculia, combinations",5
A06AC55,"linseed, combinations",5
A06AD,Osmotically acting laxatives,4
A06AD01,magnesium carbonate,5
A06AD02,magnesium oxide,5
A06AD03,magnesium peroxide,5
A06AD04,magnesium sulfate,5
A06AD10,mineral salts in combination,5
A06AD11,lactulose,5
A06AD12,lactitol,5
A06AD13,sodium sulfate,5
A06AD14,pentaerithrityl,5
A06AD15,macrogol,5
A06AD16,mannitol,5
A06AD17,sodium phosphate,5
A06AD18,sorbitol,5
A06AD19,magnesium citrate,5
A06AD21,sodium tartrate,5
A06AD61,"lactulose, combinations",5
A06AD65,"macrogol, combinations",5
A06AG,Enema for Constipation,4
A06AG01,sodium phosphate,5
A06AG02,bisacodyl,5
A06AG03,"dantron, incl. combinations",5
A06AG04,glycerol,5
A06AG06,oil ingredients,5
A06AG07,sorbitol,5
A06AG10,"docusate sodium, incl. combinations",5
A06AG11,"sodium lauryl sulfoacetate, incl. combinations",5
A06AG20,Enema combinations,5
A06AH,Peripheral opioid receptor antagonists,4
A06AH01,methylnaltrexone bromide,5
A06AH02,alvimopan,5
A06AH03,naloxegol,5
A06AH04,naloxone,5
A06AH05,naldemedine,5
A06AX,Other drugs for constipation in ATC,4
A06AX01,glycerol,5
A06AX02,carbon dioxide producing drugs,5
A06AX03,lubiprostone,5
A06AX04,linaclotide,5
A06AX05,prucalopride,5
A06AX06,tegaserod,5
A06AX07,plecanatide,5
A06AX08,tenapanor,5
A06AX09,elobixibat,5
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",2
A07A,INTESTINAL ANTIINFECTIVES,3
A07AA,"antibiotics, intestinal",4
A07AA01,neomycin,5
A07AA02,nystatin,5
A07AA03,natamycin,5
A07AA04,streptomycin,5
A07AA05,polymyxin B,5
A07AA06,paromomycin,5
A07AA07,amphotericin B,5
A07AA08,kanamycin,5
A07AA09,vancomycin,5
A07AA10,colistin,5
A07AA11,rifaximin,5
A07AA12,fidaxomicin,5
A07AA13,rifamycin,5
A07AA51,"neomycin, combinations",5
A07AA54,"streptomycin, combinations",5
A07AB,"Sulfonamides, intestinal antiinfectives",4
A07AB02,phthalylsulfathiazole,5
A07AB03,sulfaguanidine,5
A07AB04,succinylsulfathiazole,5
A07AC,"Imidazole derivatives, intestinal antiinfectives",4
A07AC01,miconazole,5
A07AX,Other intestinal antiinfectives in ATC,4
A07AX01,broxyquinoline,5
A07AX02,acetarsol,5
A07AX03,nifuroxazide,5
A07AX04,nifurzide,5
A07B,INTESTINAL ADSORBENTS,3
A07BA,"Charcoal preparations, intestinal absorbents",4
A07BA01,medicinal charcoal,5
A07BA51,"medicinal charcoal, combinations",5
A07BB,"Bismuth preparations, intestinal adsorbents",4
A07BC,Other intestinal adsorbents in ATC,4
A07BC01,pectin,5
A07BC02,kaolin,5
A07BC03,crospovidone,5
A07BC04,attapulgite,5
A07BC05,diosmectite,5
A07BC30,Other intestinal adsorbent combinations in ATC,5
A07BC54,"attapulgite, combinations",5
A07C,"ELECTROLYTES WITH CARBOHYDRATES, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",3
A07CA,Oral rehydration salt formulations,4
A07D,ANTIPROPULSIVES,3
A07DA,Antipropulsives,4
A07DA01,diphenoxylate,5
A07DA02,opium,5
A07DA03,loperamide,5
A07DA04,difenoxin,5
A07DA05,loperamide oxide,5
A07DA06,eluxadoline,5
A07DA52,"morphine, combinations",5
A07DA53,"loperamide, combinations",5
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,3
A07EA,Corticosteroids acting locally,4
A07EA01,prednisolone,5
A07EA02,hydrocortisone,5
A07EA03,prednisone,5
A07EA04,betamethasone,5
A07EA05,tixocortol,5
A07EA06,budesonide,5
A07EA07,beclometasone,5
A07EB,"Antiallergic intestinal antiinflammatory drugs, excl. corticosteroids",4
A07EB01,cromoglicic acid,5
A07EC,Aminosalicylic acid and similar agents,4
A07EC01,sulfasalazine,5
A07EC02,mesalazine,5
A07EC03,olsalazine,5
A07EC04,balsalazide,5
A07F,ANTIDIARRHEAL MICROORGANISMS,3
A07FA,Antidiarrheal microorganisms,4
A07FA01,lactic acid producing organisms,5
A07FA02,saccharomyces boulardii,5
A07FA03,escherichia coli,5
A07FA51,"lactic acid producing organisms, combinations",5
A07X,OTHER ANTIDIARRHEALS in ATC,3
A07XA,Other antidiarrheals in ATC,4
A07XA01,albumin tannate,5
A07XA02,ceratonia,5
A07XA03,calcium compounds,5
A07XA04,racecadotril,5
A07XA06,crofelemer,5
A07XA51,"albumin tannate, combinations",5
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",2
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",3
A08AA,Centrally acting antiobesity products,4
A08AA01,phentermine,5
A08AA02,fenfluramine,5
A08AA03,amfepramone,5
A08AA04,dexfenfluramine,5
A08AA05,mazindol,5
A08AA06,etilamfetamine,5
A08AA07,cathine,5
A08AA08,clobenzorex,5
A08AA09,mefenorex,5
A08AA10,sibutramine,5
A08AA11,lorcaserin,5
A08AA12,setmelanotide,5
A08AA51,phentermine and topiramate,5
A08AA56,"ephedrine, combinations",5
A08AA62,bupropion and naltrexone,5
A08AB,Peripherally acting antiobesity products,4
A08AB01,orlistat,5
A08AX,Other antiobesity drugs in ATC,4
A08AX01,rimonabant,5
A09,"DIGESTIVES, INCL. ENZYMES",2
A09A,"DIGESTIVES, INCL. ENZYMES",3
A09AA,"Enzyme preparations, digestives",4
A09AA01,diastase,5
A09AA02,"multienzymes (lipase, protease etc.)",5
A09AA03,pepsin,5
A09AA04,tilactase,5
A09AB,"Acid preparations, digestives",4
A09AB01,glutamic acid hydrochloride,5
A09AB02,betaine hydrochloride,5
A09AB03,hydrochloric acid,5
A09AB04,citric acid,5
A09AC,"Enzyme and acid preparations, combinations",4
A09AC01,pepsin and acid preparations,5
A09AC02,multienzymes and acid preparations,5
A10,DRUGS USED IN DIABETES,2
A10A,INSULINS AND ANALOGUES,3
A10AB,"Insulins and analogues for injection, fast-acting",4
A10AB01,insulin (human),5
A10AB02,insulin (beef),5
A10AB03,insulin (pork),5
A10AB04,insulin lispro,5
A10AB05,insulin aspart,5
A10AB06,insulin glulisine,5
A10AB30,"Insulins and analogs for injection, fast-acting combinations",5
A10AC,"Insulins and analogues for injection, intermediate-acting",4
A10AC01,insulin (human),5
A10AC02,insulin (beef),5
A10AC03,insulin (pork),5
A10AC04,insulin lispro,5
A10AC30,"Insulins and analogs for injection, intermediate-acting combinations",5
A10AD,"Insulins and analogues for injection used in Diabetes, intermediate- or long-acting combined with fast-acting",4
A10AD01,insulin (human),5
A10AD02,insulin (beef),5
A10AD03,insulin (pork),5
A10AD04,insulin lispro,5
A10AD05,insulin aspart,5
A10AD06,insulin degludec and insulin aspart,5
A10AD30,"Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations",5
A10AE,"Insulins and analogues for injection, long-acting",4
A10AE01,insulin (human),5
A10AE02,insulin (beef),5
A10AE03,insulin (pork),5
A10AE04,insulin glargine,5
A10AE05,insulin detemir,5
A10AE06,insulin degludec,5
A10AE07,insulin icodec,5
A10AE30,"insulins and analogs for injection combinations, long-acting",5
A10AE54,insulin glargine and lixisenatide,5
A10AE56,insulin degludec and liraglutide,5
A10AF,Insulins and analogues for inhalation,4
A10AF01,insulin (human),5
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",3
A10BA,biguanide blood glucose lower drugs,4
A10BA01,phenformin,5
A10BA02,metformin,5
A10BA03,buformin,5
A10BB,Sulfonylureas for blood glucose lowering,4
A10BB01,glibenclamide,5
A10BB02,chlorpropamide,5
A10BB03,tolbutamide,5
A10BB04,glibornuride,5
A10BB05,tolazamide,5
A10BB06,carbutamide,5
A10BB07,glipizide,5
A10BB08,gliquidone,5
A10BB09,gliclazide,5
A10BB10,metahexamide,5
A10BB11,glisoxepide,5
A10BB12,glimepiride,5
A10BB31,acetohexamide,5
A10BC,"Sulfonamides (heterocyclic), blood glucose lowering drugs",4
A10BC01,glymidine,5
A10BD,Combinations of oral blood glucose lowering drugs,4
A10BD01,phenformin and sulfonylureas,5
A10BD02,metformin and sulfonylureas,5
A10BD03,metformin and rosiglitazone,5
A10BD04,glimepiride and rosiglitazone,5
A10BD05,metformin and pioglitazone,5
A10BD06,glimepiride and pioglitazone,5
A10BD07,metformin and sitagliptin,5
A10BD08,metformin and vildagliptin,5
A10BD09,pioglitazone and alogliptin,5
A10BD10,metformin and saxagliptin,5
A10BD11,metformin and linagliptin,5
A10BD12,pioglitazone and sitagliptin,5
A10BD13,metformin and alogliptin,5
A10BD14,metformin and repaglinide,5
A10BD15,metformin and dapagliflozin,5
A10BD16,metformin and canagliflozin,5
A10BD17,metformin and acarbose,5
A10BD18,metformin and gemigliptin,5
A10BD19,linagliptin and empagliflozin,5
A10BD20,metformin and empagliflozin,5
A10BD21,saxagliptin and dapagliflozin,5
A10BD22,metformin and evogliptin,5
A10BD23,metformin and ertugliflozin,5
A10BD24,sitagliptin and ertugliflozin,5
A10BD25,"metformin, saxagliptin and dapagliflozin",5
A10BD26,metformin and lobeglitazone,5
A10BD27,"metformin, linagliptin and empagliflozin",5
A10BD28,metformin and teneligliptin,5
A10BD29,sitagliptin and dapagliflozin,5
A10BF,"Alpha glucosidase inhibitors, blood glucose lowering",4
A10BF01,acarbose,5
A10BF02,miglitol,5
A10BF03,voglibose,5
A10BG,"Thiazolidinediones, blood glucose lowering drugs",4
A10BG01,troglitazone,5
A10BG02,rosiglitazone,5
A10BG03,pioglitazone,5
A10BG04,lobeglitazone,5
A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors for blood glucose lowering,4
A10BH01,sitagliptin,5
A10BH02,vildagliptin,5
A10BH03,saxagliptin,5
A10BH04,alogliptin,5
A10BH05,linagliptin,5
A10BH06,gemigliptin,5
A10BH07,evogliptin,5
A10BH08,teneligliptin,5
A10BH51,sitagliptin and simvastatin,5
A10BH52,gemigliptin and rosuvastatin,5
A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,4
A10BJ01,exenatide,5
A10BJ02,liraglutide,5
A10BJ03,lixisenatide,5
A10BJ04,albiglutide,5
A10BJ05,dulaglutide,5
A10BJ06,semaglutide,5
A10BJ07,beinaglutide,5
A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,4
A10BK01,dapagliflozin,5
A10BK02,canagliflozin,5
A10BK03,empagliflozin,5
A10BK04,ertugliflozin,5
A10BK05,ipragliflozin,5
A10BK06,sotagliflozin,5
A10BK07,luseogliflozin,5
A10BK08,bexagliflozin,5
A10BX,"Other blood glucose lowering drugs, excl. insulins in ATC",4
A10BX01,guar gum,5
A10BX02,repaglinide,5
A10BX03,nateglinide,5
A10BX05,pramlintide,5
A10BX06,benfluorex,5
A10BX08,mitiglinide,5
A10BX15,imeglimin,5
A10BX16,tirzepatide,5
A10BX17,carfloglitazar,5
A10BX18,dorzagliatin,5
A10X,OTHER DRUGS USED IN DIABETES in ATC,3
A10XA,Aldose reductase inhibitors used in diabetes,4
A10XA01,tolrestat,5
A10XX,Other drugs used in diabetes in ATC,4
A10XX01,teplizumab,5
A11,VITAMINS,2
A11A,"MULTIVITAMINS, COMBINATIONS",3
A11AA,Multivitamins with minerals,4
A11AA01,multivitamins and iron,5
A11AA02,multivitamins and calcium,5
A11AA03,"multivitamins and other minerals, incl. combinations",5
A11AA04,multivitamins and trace elements,5
A11AB,"Multivitamins, other combinations",4
A11B,"MULTIVITAMINS, PLAIN",3
A11BA,"Multivitamins, plain",4
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",3
A11CA,"Vitamin A, plain",4
A11CA01,retinol (vit A),5
A11CA02,betacarotene,5
A11CB,Vitamin A and D in combination,4
A11CC,Vitamin D and analogues,4
A11CC01,ergocalciferol,5
A11CC02,dihydrotachysterol,5
A11CC03,alfacalcidol,5
A11CC04,calcitriol,5
A11CC05,colecalciferol,5
A11CC06,calcifediol,5
A11CC20,vitamin D and analog combinations,5
A11CC55,"colecalciferol, combinations",5
