Level code,Preferred Label,ATC LEVEL
C04AF,"Enzymes, peripheral vasodilators",4
C04AF01,kallidinogenase,5
C04AX,Other peripheral vasodilators in ATC,4
C04AX01,cyclandelate,5
C04AX02,phenoxybenzamine,5
C04AX07,vincamine,5
C04AX10,moxisylyte,5
C04AX11,bencyclane,5
C04AX17,vinburnine,5
C04AX19,suloctidil,5
C04AX20,buflomedil,5
C04AX21,naftidrofuryl,5
C04AX23,butalamine,5
C04AX24,visnadine,5
C04AX26,cetiedil,5
C04AX27,cinepazide,5
C04AX28,ifenprodil,5
C04AX30,azapetine,5
C04AX32,fasudil,5
C04AX33,clazosentan,5
C05,VASOPROTECTIVES,2
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,3
C05AA,"Corticosteroids, topical for treatment of hemorrhoids and anal fissures",4
C05AA01,hydrocortisone,5
C05AA04,prednisolone,5
C05AA05,betamethasone,5
C05AA06,fluorometholone,5
C05AA08,fluocortolone,5
C05AA09,dexamethasone,5
C05AA10,fluocinolone acetonide,5
C05AA11,fluocinonide,5
C05AA12,triamcinolone,5
C05AB,Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,4
C05AD,Local anesthetics for treatment of hemorrhoids and anal fissures for topical use,4
C05AD01,lidocaine,5
C05AD02,tetracaine,5
C05AD03,benzocaine,5
C05AD04,cinchocaine,5
C05AD05,procaine,5
C05AD06,oxetacaine,5
C05AD07,pramocaine,5
C05AE,Muscle relaxants FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,4
C05AE01,glyceryl trinitrate,5
C05AE02,isosorbide dinitrate,5
C05AE03,diltiazem,5
C05AX,Other agents for treatment of hemorrhoids and anal fissures for topical use in ATC,4
C05AX01,aluminium preparations,5
C05AX02,"bismuth preparations, combinations",5
C05AX03,"other preparations, combinations",5
C05AX04,zinc preparations,5
C05AX05,tribenoside,5
C05AX06,phenylephrine,5
C05B,ANTIVARICOSE THERAPY DRUGS,3
C05BA,Heparins or heparinoids for topical use,4
C05BA01,organo-heparinoid,5
C05BA02,sodium apolate,5
C05BA03,heparin,5
C05BA04,pentosan polysulfate sodium,5
C05BA51,"heparinoid, combinations",5
C05BA53,"heparin, combinations",5
C05BB,Sclerosing agents for local injection,4
C05BB01,monoethanolamine oleate,5
C05BB02,polidocanol,5
C05BB03,invert sugar,5
C05BB04,sodium tetradecyl sulfate,5
C05BB05,phenol,5
C05BB56,"glucose, combinations",5
C05BX,Other sclerosing agents in ATC,4
C05BX01,calcium dobesilate,5
C05BX51,"calcium dobesilate, combinations",5
C05C,CAPILLARY STABILIZING AGENTS,3
C05CA,Bioflavonoid drugs for capillary stabilizing,4
C05CA01,rutoside,5
C05CA02,monoxerutin,5
C05CA03,diosmin,5
C05CA04,troxerutin,5
C05CA05,hidrosmin,5
C05CA51,"rutoside, combinations",5
C05CA53,"diosmin, combinations",5
C05CA54,"troxerutin, combinations",5
C05CX,Other capillary stabilizing agents in ATC,4
C05CX01,tribenoside,5
C05CX02,naftazone,5
C05CX03,Hippocastani semen,5
C05X,OTHER VASOPROTECTIVES in ATC,3
C05XX,Other vasoprotectives in ATC,4
C05XX01,beperminogene perplasmid,5
C07,beta-Adrenergic Blocking Agents,2
C07A,BETA BLOCKING AGENTS,3
C07AA,"Beta blocking agents, non-selective",4
C07AA01,alprenolol,5
C07AA02,oxprenolol,5
C07AA03,pindolol,5
C07AA05,propranolol,5
C07AA06,timolol,5
C07AA07,sotalol,5
C07AA12,nadolol,5
C07AA14,mepindolol,5
C07AA15,carteolol,5
C07AA16,tertatolol,5
C07AA17,bopindolol,5
C07AA19,bupranolol,5
C07AA23,penbutolol,5
C07AA27,cloranolol,5
C07AB,"Beta blocking agents, selective",4
C07AB01,practolol,5
C07AB02,metoprolol,5
C07AB03,atenolol,5
C07AB04,acebutolol,5
C07AB05,betaxolol,5
C07AB06,bevantolol,5
C07AB07,bisoprolol,5
C07AB08,celiprolol,5
C07AB09,esmolol,5
C07AB10,epanolol,5
C07AB11,s-atenolol,5
C07AB12,nebivolol,5
C07AB13,talinolol,5
C07AB14,landiolol,5
C07AG,Alpha and beta blocking agents,4
C07AG01,labetalol,5
C07AG02,carvedilol,5
C07B,BETA BLOCKING AGENTS AND THIAZIDES,3
C07BA,"Beta blocking agents, non-selective, and thiazides",4
C07BA02,oxprenolol and thiazides,5
C07BA05,propranolol and thiazides,5
C07BA06,timolol and thiazides,5
C07BA07,sotalol and thiazides,5
C07BA12,nadolol and thiazides,5
C07BA68,"metipranolol and thiazides, combinations",5
C07BB,"Beta blocking agents, selective, and thiazides",4
C07BB02,metoprolol and thiazides,5
C07BB03,atenolol and thiazides,5
C07BB04,acebutolol and thiazides,5
C07BB06,bevantolol and thiazides,5
C07BB07,bisoprolol and thiazides,5
C07BB12,nebivolol and thiazides,5
C07BB52,"metoprolol and thiazides, combinations",5
C07BG,Alpha and beta blocking agents and thiazides,4
C07BG01,labetalol and thiazides,5
C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,3
C07CA,"Beta blocking agents, non-selective, and other diuretics",4
C07CA02,oxprenolol and other diuretics,5
C07CA03,pindolol and other diuretics,5
C07CA17,bopindolol and other diuretics,5
C07CA23,penbutolol and other diuretics,5
C07CB,"Beta blocking agents, selective, and other diuretics",4
C07CB02,metoprolol and other diuretics,5
C07CB03,atenolol and other diuretics,5
C07CB53,"atenolol and other diuretics, combinations",5
C07CG,Alpha and beta blocking agents and other diuretics,4
C07CG01,labetalol and other diuretics,5
C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",3
C07DA,"Beta blocking agents, non-selective, thiazides and other diuretics",4
C07DA06,"timolol, thiazides and other diuretics",5
C07DB,"Beta blocking agents, selective, thiazides and other diuretics",4
C07DB01,"atenolol, thiazides and other diuretics",5
C07E,BETA BLOCKING AGENTS AND VASODILATORS,3
C07EA,"Beta blocking agents, non-selective, and vasodilators",4
C07EB,"Beta blocking agents, selective, and vasodilators",4
C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",3
C07FB,Beta blocking agents and calcium channel blockers,4
C07FB02,metoprolol and felodipine,5
C07FB03,atenolol and nifedipine,5
C07FB07,bisoprolol and amlodipine,5
C07FB12,nebivolol and amlodipine,5
C07FB13,metoprolol and amlodipine,5
C07FX,"Beta blocking agents, other combinations",4
C07FX01,propranolol and other combinations,5
C07FX02,sotalol and acetylsalicylic acid,5
C07FX03,metoprolol and acetylsalicylic acid,5
C07FX04,bisoprolol and acetylsalicylic acid,5
C07FX05,metoprolol and ivabradine,5
C07FX06,carvedilol and ivabradine,5
C08,CALCIUM CHANNEL BLOCKERS,2
C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,3
C08CA,Dihydropyridine derivative selective calcium channel blockers with mainly vascular effects,4
C08CA01,amlodipine,5
C08CA02,felodipine,5
C08CA03,isradipine,5
C08CA04,nicardipine,5
C08CA05,nifedipine,5
C08CA06,nimodipine,5
C08CA07,nisoldipine,5
C08CA08,nitrendipine,5
C08CA09,lacidipine,5
C08CA10,nilvadipine,5
C08CA11,manidipine,5
C08CA12,barnidipine,5
C08CA13,lercanidipine,5
C08CA14,cilnidipine,5
C08CA15,benidipine,5
C08CA16,clevidipine,5
C08CA17,levamlodipine,5
C08CA51,amlodipine and celecoxib,5
C08CA55,"nifedipine, combinations",5
C08CX,Other selective calcium channel blockers with mainly vascular effects in ATC,4
C08CX01,mibefradil,5
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,3
C08DA,"Phenylalkylamine derivatives, selective calcium channel blockers with direct cardiac effects",4
C08DA01,verapamil,5
C08DA02,gallopamil,5
C08DA51,"verapamil, combinations",5
C08DB,Benzothiazepine derivative selective calcium channel blockers with direct cardiac effects,4
C08DB01,diltiazem,5
C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,3
C08EA,"Phenylalkylamine derivatives, non-selective calcium channel blockers",4
C08EA01,fendiline,5
C08EA02,bepridil,5
C08EX,Other non-selective calcium channel blockers in ATC,4
C08EX01,lidoflazine,5
C08EX02,perhexiline,5
C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,3
C08GA,Calcium channel blockers and diuretics,4
C08GA01,nifedipine and diuretics,5
C08GA02,amlodipine and diuretics,5
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,2
C09A,"ACE INHIBITORS, PLAIN",3
C09AA,"ACE inhibitors, plain",4
C09AA01,captopril,5
C09AA02,enalapril,5
C09AA03,lisinopril,5
C09AA04,perindopril,5
C09AA05,ramipril,5
C09AA06,quinapril,5
C09AA07,benazepril,5
C09AA08,cilazapril,5
C09AA09,fosinopril,5
C09AA10,trandolapril,5
C09AA11,spirapril,5
C09AA12,delapril,5
C09AA13,moexipril,5
C09AA14,temocapril,5
C09AA15,zofenopril,5
C09AA16,imidapril,5
C09B,"ACE INHIBITORS, COMBINATIONS",3
C09BA,ACE inhibitors and diuretics,4
C09BA01,captopril and diuretics,5
C09BA02,enalapril and diuretics,5
C09BA03,lisinopril and diuretics,5
C09BA04,perindopril and diuretics,5
C09BA05,ramipril and diuretics,5
C09BA06,quinapril and diuretics,5
C09BA07,benazepril and diuretics,5
C09BA08,cilazapril and diuretics,5
C09BA09,fosinopril and diuretics,5
C09BA12,delapril and diuretics,5
C09BA13,moexipril and diuretics,5
C09BA15,zofenopril and diuretics,5
C09BB,ACE inhibitors and calcium channel blockers,4
C09BB02,enalapril and lercanidipine,5
C09BB03,lisinopril and amlodipine,5
C09BB04,perindopril and amlodipine,5
C09BB05,ramipril and felodipine,5
C09BB06,enalapril and nitrendipine,5
C09BB07,ramipril and amlodipine,5
C09BB10,trandolapril and verapamil,5
C09BB12,delapril and manidipine,5
C09BB13,benazepril and amlodipine,5
C09BX,"ACE inhibitors, other combinations in ATC",4
C09BX01,"perindopril, amlodipine and indapamide",5
C09BX02,perindopril and bisoprolol,5
C09BX03,"ramipril, amlodipine and hydrochlorothiazide",5
C09BX04,"perindopril, bisoprolol and amlodipine",5
C09BX05,ramipril and bisoprolol,5
C09BX06,"perindopril, bisoprolol, amlodipine and indapamide",5
C09BX07,zofenopril and nebivolol,5
C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",3
C09CA,"Angiotensin II receptor blockers (ARBs), plain",4
C09CA01,losartan,5
C09CA02,eprosartan,5
C09CA03,valsartan,5
C09CA04,irbesartan,5
C09CA05,tasosartan,5
C09CA06,candesartan,5
C09CA07,telmisartan,5
C09CA08,olmesartan medoxomil,5
C09CA09,azilsartan medoxomil,5
C09CA10,fimasartan,5
C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",3
C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,4
C09DA01,losartan and diuretics,5
C09DA02,eprosartan and diuretics,5
C09DA03,valsartan and diuretics,5
C09DA04,irbesartan and diuretics,5
C09DA06,candesartan and diuretics,5
C09DA07,telmisartan and diuretics,5
C09DA08,olmesartan medoxomil and diuretics,5
C09DA09,azilsartan medoxomil and diuretics,5
C09DA10,fimasartan and diuretics,5
C09DB,Angiotensin II receptor blockers (ARBs) and calcium channel blockers,4
C09DB01,valsartan and amlodipine,5
C09DB02,olmesartan medoxomil and amlodipine,5
C09DB04,telmisartan and amlodipine,5
C09DB05,irbesartan and amlodipine,5
C09DB06,losartan and amlodipine,5
C09DB07,candesartan and amlodipine,5
C09DB08,valsartan and lercanidipine,5
C09DB09,fimasartan and amlodipine,5
C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",4
C09DX01,"valsartan, amlodipine and hydrochlorothiazide",5
C09DX02,valsartan and aliskiren,5
C09DX03,"olmesartan medoxomil, amlodipine and hydrochlorothiazide",5
C09DX04,valsartan and sacubitril,5
C09DX05,valsartan and nebivolol,5
C09DX06,"candesartan, amlodipine and hydrochlorothiazide",5
C09DX07,"irbesartan, amlodipine and hydrochlorothiazide",5
C09DX08,"telmisartan, amlodipine and hydrochlorothiazide",5
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,3
C09XA,Renin-inhibitors,4
C09XA01,remikiren,5
C09XA02,aliskiren,5
C09XA52,aliskiren and hydrochlorothiazide,5
C09XA53,aliskiren and amlodipine,5
C09XA54,"aliskiren, amlodipine and hydrochlorothiazide",5
C10,LIPID MODIFYING AGENTS,2
C10A,"LIPID MODIFYING AGENTS, PLAIN",3
C10AA,"HMG CoA reductase inhibitors, plain lipid modifying drugs",4
C10AA01,simvastatin,5
C10AA02,lovastatin,5
C10AA03,pravastatin,5
C10AA04,fluvastatin,5
C10AA05,atorvastatin,5
C10AA06,cerivastatin,5
C10AA07,rosuvastatin,5
C10AA08,pitavastatin,5
C10AB,"Fibrates, lipid modifying drugs, plain",4
C10AB01,clofibrate,5
C10AB02,bezafibrate,5
C10AB03,aluminium clofibrate,5
C10AB04,gemfibrozil,5
C10AB05,fenofibrate,5
C10AB06,simfibrate,5
C10AB07,ronifibrate,5
C10AB08,ciprofibrate,5
C10AB09,etofibrate,5
C10AB10,clofibride,5
C10AB11,choline fenofibrate,5
C10AB12,permafibrat,5
C10AC,Bile acid sequestrants,4
C10AC01,colestyramine,5
C10AC02,colestipol,5
C10AC03,colextran,5
C10AC04,colesevelam,5
C10AD,"Nicotinic acid and derivatives, lipid modifying, plain",4
C10AD01,niceritrol,5
C10AD02,nicotinic acid,5
C10AD03,nicofuranose,5
C10AD04,aluminium nicotinate,5
C10AD05,nicotinyl alcohol,5
C10AD06,acipimox,5
C10AD52,"nicotinic acid, combinations",5
C10AX,Other lipid modifying agents in ATC,4
C10AX01,dextrothyroxine,5
C10AX02,probucol,5
C10AX03,tiadenol,5
C10AX05,meglutol,5
C10AX06,omega-3-triglycerides incl. other esters and acids,5
C10AX07,magnesium pyridoxal 5-phosphate glutamate,5
C10AX08,policosanol,5
C10AX09,ezetimibe,5
C10AX10,alipogene tiparvovec,5
C10AX11,mipomersen,5
C10AX12,lomitapide,5
C10AX13,evolocumab,5
C10AX14,alirocumab,5
C10AX15,bempedoic acid,5
C10AX16,inclisiran,5
C10AX17,evinacumab,5
C10AX18,volanesorsen,5
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",3
C10BA,Combinations of various lipid modifying agents,4
C10BA01,lovastatin and nicotinic acid,5
C10BA02,simvastatin and ezetimibe,5
C10BA03,pravastatin and fenofibrate,5
C10BA04,simvastatin and fenofibrate,5
C10BA05,atorvastatin and ezetimibe,5
C10BA06,rosuvastatin and ezetimibe,5
C10BA07,rosuvastatin and omega-3 fatty acids,5
C10BA08,atorvastatin and omega-3 fatty acids,5
C10BA09,rosuvastatin and fenofibrate,5
C10BA10,bempedoic acid and ezetimibe,5
C10BA11,pravastatin and ezetimibe,5
C10BA12,"pravastatin, ezetimibe and fenofibrate",5
C10BX,Lipid modifying agents in combination with other drugs,4
C10BX01,simvastatin and acetylsalicylic acid,5
C10BX02,pravastatin and acetylsalicylic acid,5
C10BX03,atorvastatin and amlodipine,5
C10BX04,"simvastatin, acetylsalicylic acid and ramipril",5
C10BX05,rosuvastatin and acetylsalicylic acid,5
C10BX06,"atorvastatin, acetylsalicylic acid and ramipril",5
C10BX07,"rosuvastatin, amlodipine and lisinopril",5
C10BX08,atorvastatin and acetylsalicylic acid,5
C10BX09,rosuvastatin and amlodipine,5
C10BX10,rosuvastatin and valsartan,5
C10BX11,"atorvastatin, amlodipine and perindopril",5
C10BX12,"atorvastatin, acetylsalicylic acid and perindopril",5
C10BX13,"rosuvastatin, perindopril and indapamide",5
C10BX14,"rosuvastatin, amlodipine and perindopril",5
C10BX15,atorvastatin and perindopril,5
C10BX16,rosuvastatin and fimasartan,5
C10BX17,rosuvastatin and ramipril,5
C10BX18,"atorvastatin, amlodipine and ramipril",5
C10BX19,"atorvastatin, amlodipine and candesartan",5
C10BX20,rosuvastatin and telmisartan,5
C10BX21,rosuvastatin and perindopril,5
D,DERMATOLOGICALS,1
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,2
D01A,ANTIFUNGALS FOR TOPICAL USE,3
D01AA,"Antifungal Antibiotics, Topical",4
D01AA01,nystatin,5
D01AA02,natamycin,5
D01AA03,hachimycin,5
D01AA04,pecilocin,5
D01AA06,mepartricin,5
D01AA07,pyrrolnitrin,5
D01AA08,griseofulvin,5
D01AA20,topical antibiotic combinations,5
D01AC,"Imidazole and triazole derivatives, topical antifungals",4
D01AC01,clotrimazole,5
D01AC02,miconazole,5
D01AC03,econazole,5
D01AC04,chlormidazole,5
D01AC05,isoconazole,5
D01AC06,tiabendazole,5
D01AC07,tioconazole,5
D01AC08,ketoconazole,5
D01AC09,sulconazole,5
D01AC10,bifonazole,5
D01AC11,oxiconazole,5
D01AC12,fenticonazole,5
D01AC13,omoconazole,5
D01AC14,sertaconazole,5
D01AC15,fluconazole,5
D01AC16,flutrimazole,5
D01AC17,eberconazole,5
D01AC18,luliconazole,5
D01AC19,efinaconazole,5
D01AC20,Imidazole and triazole derivative topical antifungal combinations,5
D01AC21,neticonazole,5
D01AC22,lanoconazole,5
D01AC52,"miconazole, combinations",5
D01AC60,"bifonazole, combinations",5
D01AE,Other antifungals for topical use in ATC,4
D01AE01,bromochlorosalicylanilide,5
D01AE02,methylrosaniline,5
D01AE03,tribromometacresol,5
D01AE04,undecylenic acid,5
D01AE05,polynoxylin,5
D01AE06,2-(4-chlorphenoxy)-ethanol,5
D01AE07,chlorphenesin,5
D01AE08,ticlatone,5
D01AE09,sulbentine,5
D01AE10,ethyl hydroxybenzoate,5
D01AE11,haloprogin,5
D01AE12,salicylic acid,5
D01AE13,selenium sulfide,5
D01AE14,ciclopirox,5
D01AE15,terbinafine,5
D01AE16,amorolfine,5
D01AE17,dimazole,5
D01AE18,tolnaftate,5
D01AE19,tolciclate,5
D01AE20,Other antifungal combinations for topical use in ATC,5
D01AE21,flucytosine,5
D01AE22,naftifine,5
D01AE23,butenafine,5
D01AE24,tavaborole,5
D01AE25,liranaftate,5
D01AE54,"undecylenic acid, combinations",5
D01B,ANTIFUNGALS FOR SYSTEMIC USE,3
D01BA,Antifungals for systemic use,4
D01BA01,griseofulvin,5
D01BA02,terbinafine,5
D01BA03,fosravuconazole,5
D02,EMOLLIENTS AND PROTECTIVES,2
D02A,EMOLLIENTS AND PROTECTIVES,3
D02AA,Silicone emollient and protective products,4
D02AB,"Zinc products, emollients and protectives",4
D02AC,Soft paraffin and fat products,4
D02AD,Liquid plasters,4
D02AE,"Carbamide products, emollients and protectives",4
D02AE01,carbamide,5
D02AE51,"carbamide, combinations",5
D02AF,Salicylic acid emollient and protective preparations,4
D02AX,Other emollients and protectives in ATC,4
D02B,PROTECTIVES AGAINST UV-RADIATION,3
D02BA,Protectives against UV-radiation for topical use,4
D02BA01,aminobenzoic acid,5
D02BA02,octinoxate,5
D02BB,Protectives against UV-radiation for systemic use,4
D02BB01,betacarotene,5
D02BB02,afamelanotide,5
D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,2
D03A,CICATRIZANTS,3
D03AA,Cod-liver oil ointments,4
D03AX,Other cicatrizants in ATC,4
D03AX01,cadexomer iodine,5
D03AX02,dextranomer,5
D03AX03,dexpanthenol,5
D03AX04,calcium pantothenate,5
D03AX05,hyaluronic acid,5
D03AX06,becaplermin,5
D03AX09,crilanomer,5
D03AX10,enoxolone,5
D03AX11,sodium chlorite,5
D03AX12,trolamine,5
D03AX13,Betulae cortex,5
D03AX14,"Centella asiatica herba, incl. combinations",5
D03AX15,trafermin,5
D03AX16,beremagene geperpavec,5
D03B,ENZYMES FOR TREATMENT OF WOUNDS AND ULCERS,3
D03BA,Proteolytic enzymes for treatment of wounds and ulcers,4
D03BA01,trypsin,5
D03BA02,collagenase,5
D03BA03,bromelains,5
D03BA52,"collagenase, combinations",5
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",2
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",3
D04AA,Antihistamines for topical use,4
D04AA01,thonzylamine,5
D04AA02,mepyramine,5
D04AA03,thenalidine,5
D04AA04,tripelennamine,5
D04AA09,chloropyramine,5
D04AA10,promethazine,5
D04AA12,tolpropamine,5
D04AA13,dimetindene,5
D04AA14,clemastine,5
D04AA15,bamipine,5
D04AA16,pheniramine,5
D04AA22,isothipendyl,5
D04AA32,diphenhydramine,5
D04AA33,diphenhydramine methylbromide,5
D04AA34,chlorphenoxamine,5
D04AB,Anesthetics for topical use,4
D04AB01,lidocaine,5
D04AB02,cinchocaine,5
D04AB03,oxybuprocaine,5
D04AB04,benzocaine,5
D04AB05,quinisocaine,5
D04AB06,tetracaine,5
D04AB07,pramocaine,5
D04AX,Other antipruritics in ATC,4
D04AX01,doxepin,5
D05,ANTIPSORIATICS,2
D05A,ANTIPSORIATICS FOR TOPICAL USE,3
D05AA,"Tars, topical antipsoriatics",4
D05AC,"Antracen derivatives, topical antipsoriatics",4
D05AC01,dithranol,5
D05AC51,"dithranol, combinations",5
D05AD,Psoralens for topical use,4
D05AD01,trioxysalen,5
D05AD02,methoxsalen,5
D05AX,Other antipsoriatics for topical use in ATC,4
D05AX01,fumaric acid,5
D05AX02,calcipotriol,5
D05AX03,calcitriol,5
D05AX04,tacalcitol,5
D05AX05,tazarotene,5
D05AX06,roflumilast,5
D05AX07,tapinarof,5
D05AX52,"calcipotriol, combinations",5
D05AX55,tazarotene and ulobetasol,5
D05B,ANTIPSORIATICS FOR SYSTEMIC USE,3
D05BA,Psoralens for systemic use,4
D05BA01,trioxysalen,5
D05BA02,methoxsalen,5
D05BA03,bergapten,5
D05BB,Retinoids for treatment of psoriasis,4
D05BB01,etretinate,5
D05BB02,acitretin,5
D05BX,Other antipsoriatics for systemic use in ATC,4
D05BX51,"fumaric acid derivatives, combinations",5
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,2
D06A,ANTIBIOTICS FOR TOPICAL USE,3
D06AA,"Tetracycline and derivatives, topical antibiotics",4
D06AA01,demeclocycline,5
D06AA02,chlortetracycline,5
D06AA03,oxytetracycline,5
D06AA04,tetracycline,5
D06AX,Other antibiotics for topical use in ATC,4
D06AX01,fusidic acid,5
D06AX02,chloramphenicol,5
D06AX04,neomycin,5
D06AX05,bacitracin,5
D06AX07,gentamicin,5
D06AX08,tyrothricin,5
D06AX09,mupirocin,5
D06AX10,virginiamycin,5
D06AX11,rifaximin,5
D06AX12,amikacin,5
D06AX13,retapamulin,5
D06AX14,ozenoxacin,5
D06AX15,rifamycin,5
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,3
D06BA,"Sulfonamides, topical",4
D06BA01,silver sulfadiazine,5
D06BA02,sulfathiazole,5
D06BA03,mafenide,5
D06BA04,sulfamethizole,5
D06BA05,sulfanilamide,5
D06BA06,sulfamerazine,5
D06BA51,"silver sulfadiazine, combinations",5
D06BB,"Antivirals, topical",4
D06BB01,idoxuridine,5
D06BB02,tromantadine,5
D06BB03,aciclovir,5
D06BB04,podophyllotoxin,5
D06BB05,inosine,5
D06BB06,penciclovir,5
D06BB07,lysozyme,5
D06BB08,ibacitabine,5
D06BB09,edoxudine,5
D06BB10,imiquimod,5
D06BB11,docosanol,5
D06BB12,sinecatechins,5
D06BB53,"aciclovir, combinations",5
D06BX,Other chemotherapeutics in ATC,4
D06BX01,metronidazole,5
D06BX02,ingenol mebutate,5
D06BX03,tirbanibulin,5
D06C,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",3
D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",2
D07A,"CORTICOSTEROID DERMATOLOGICAL PREPARATIONS, PLAIN",3
D07AA,"Corticosteroids, weak (group I)",4
D07AA01,methylprednisolone,5
D07AA02,hydrocortisone,5
D07AA03,prednisolone,5
D07AB,"Corticosteroids, moderately potent (group II)",4
D07AB01,clobetasone,5
D07AB02,hydrocortisone butyrate,5
D07AB03,flumetasone,5
D07AB04,fluocortin,5
D07AB05,fluperolone,5
D07AB06,fluorometholone,5
D07AB07,fluprednidene,5
D07AB08,desonide,5
D07AB09,triamcinolone,5
D07AB10,alclometasone,5
D07AB11,hydrocortisone buteprate,5
D07AB19,dexamethasone,5
D07AB21,clocortolone,5
D07AB30,combinations of corticosteroids,5
D07AC,"Corticosteroids, potent (group III)",4
D07AC01,betamethasone,5
D07AC02,fluclorolone,5
D07AC03,desoximetasone,5
D07AC04,fluocinolone acetonide,5
D07AC05,fluocortolone,5
D07AC06,diflucortolone,5
D07AC07,fludroxycortide,5
D07AC08,fluocinonide,5
D07AC09,budesonide,5
D07AC10,diflorasone,5
D07AC11,amcinonide,5
D07AC12,halometasone,5
D07AC13,mometasone,5
D07AC14,methylprednisolone aceponate,5
D07AC15,beclometasone,5
D07AC16,hydrocortisone aceponate,5
D07AC17,fluticasone,5
D07AC18,prednicarbate,5
D07AC19,difluprednate,5
D07AC21,ulobetasol,5
D07AD,"Corticosteroids, very potent (group IV)",4
D07AD01,clobetasol,5
D07AD02,halcinonide,5
D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",3
D07BA,"Corticosteroids, weak, combinations with antiseptics",4
D07BA01,prednisolone and antiseptics,5
D07BA04,hydrocortisone and antiseptics,5
D07BB,"Corticosteroids, moderately potent, combinations with antiseptics",4
D07BB01,flumetasone and antiseptics,5
D07BB02,desonide and antiseptics,5
D07BB03,triamcinolone and antiseptics,5
D07BB04,hydrocortisone butyrate and antiseptics,5
D07BC,"Corticosteroids, potent, combinations with antiseptics",4
D07BC01,betamethasone and antiseptics,5
D07BC02,fluocinolone acetonide and antiseptics,5
D07BC03,fluocortolone and antiseptics,5
D07BC04,diflucortolone and antiseptics,5
D07BD,"Corticosteroids, very potent, combinations with antiseptics",4
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",3
D07CA,"Corticosteroids, weak, combinations with antibiotics",4
D07CA01,hydrocortisone and antibiotics,5
D07CA02,methylprednisolone and antibiotics,5
D07CA03,prednisolone and antibiotics,5
D07CB,"Corticosteroids, moderately potent, combinations with antibiotics",4
D07CB01,triamcinolone and antibiotics,5
D07CB02,fluprednidene and antibiotics,5
D07CB03,fluorometholone and antibiotics,5
D07CB04,dexamethasone and antibiotics,5
D07CB05,flumetasone and antibiotics,5
D07CC,"Corticosteroids, potent, combinations with antibiotics",4
D07CC01,betamethasone and antibiotics,5
D07CC02,fluocinolone acetonide and antibiotics,5
D07CC03,fludroxycortide and antibiotics,5
D07CC04,beclometasone and antibiotics,5
D07CC05,fluocinonide and antibiotics,5
D07CC06,fluocortolone and antibiotics,5
D07CD,"Corticosteroids, very potent, combinations with antibiotics",4
D07CD01,clobetasol and antibiotics,5
D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS",3
D07XA,"Corticosteroids, weak, other combinations",4
D07XA01,hydrocortisone,5
D07XA02,prednisolone,5
D07XB,"Corticosteroids, moderately potent, other combinations",4
D07XB01,flumetasone,5
D07XB02,triamcinolone,5
D07XB03,fluprednidene,5
D07XB04,fluorometholone,5
D07XB05,dexamethasone,5
D07XB30,combinations of corticosteroids,5
D07XC,"Corticosteroids, potent, other combinations",4
D07XC01,betamethasone,5
D07XC02,desoximetasone,5
D07XC03,mometasone,5
D07XC04,diflucortolone,5
D07XC05,fluocortolone,5
D07XD,"Corticosteroids, very potent, other combinations",4
D08,ANTISEPTICS AND DISINFECTANTS,2
D08A,ANTISEPTICS AND DISINFECTANTS,3
