Position,PMID,Title,Year,Language,Abstract,MeSH terms (Descriptor),MeSH terms (Qualifier),Publication types,Keywords,drug_list,id_lis       t,pediatric_keyword,pediatric_mesh,potential_kw,Biomarker_pred,CT_pred,FBNSTP_pred,PE_pred,PK_pred,VC_pred,relevance_pred,precalc_vec       tor,Score_CT,Score_PK,Score_PE
0001-274,274,Gastric pH and microflora of normal and diarrhoeic infants. ,1976.0,|||eng,"The microflora and pH of gastric contents we       re determined in breast-fed and in bottle-fed normal infants, in well nourished infants with acute diarrhoea and in infants with chro       nic diarrhoea and protein-calorie malnutrition. The last group of infants was reevaluated after recovery from diarrhoea and protein-c       alorie malnutrition. A bactericidal pH effect below 2-5 was observed. Bottle-fed controls had low pH values and low bacterial concent       rations, whereas infants with chronic diarrhoea and protein-calorie malnutrition had high pH values and bacterial overgrowth, essenti       ally of Gram-negative bacilli. After recovery, the only remaining alteration was the frequent isolation of yeast-like fungi in low co       ncentrations. Infants with acute diarrhoea, except for the isolation more frequently of yeast-like fungi, presented no alterations; t       his seems to indicate that pH alterations and Gram-negative bacilli overgrowth occurred during the evolution of the disease to a chro       nic state. Breast-fed normal infants had hydrogen-ion concentrations similar to those of the chronic diarrhoea group, but without Gra       m-negative bacilli overgrowth, suggesting that other factors, besides pH, regulate bacterial growth in the gastric contents of these        groups of infants. ","Acute Disease|||Bacteria|||Breast Feeding|||Candida albicans|||Chronic Disease|||Diarrhea, Infantile|||Enteroba       cteriaceae|||Gastric Juice|||Humans|||Hydrogen-Ion Concentration|||Infant|||Pharynx|||Protein-Energy Malnutrition|||Pseudomonas|||Sta       phylococcus|||Stomach|||Streptococcus",isolation & purification|||isolation & purification|||microbiology|||isolation & purification|       ||metabolism|||microbiology|||microbiology|||isolation & purification|||isolation & purification|||microbiology|||isolation & purific       ation,Comparative Study|||Journal Article,,"['Group', 'CANDIDA ALBICANS', 'gastric juice', 'YEAST', 'ion', 'hydrogen', 'protein', 'ga       stric contents']","{'C0885426', 'C0348081', 'C1561557', 'C1325816', 'C0017133', 'C0022023', 'C0038352', 'C0033684', 'C0020275', 'C071       7551'}","['infantile', 'infant', 'infants']",['infant'],['infant'],1,0,1,0,0,0,1,{},0.0,0.0,0.0
0001-479,479,"Renal response to acid loading in the developing lamb fetus, intact in utero. ",1976.0,|||eng,"Response of the fetal ki       dney to metabolic acidosis was studied in five fetal lambs, 115-125 days gestation, in order to evaluate the renal contribution to el       imination of hydrogen ion during intra-uterine development. Experiments were conducted on healthy unanesthetized fetuses, intact in u       tero, with catheters implanted at hysterotomy into a fetal femoral artery and vein and into the bladder via the urachus, four or more        days prior to the study. A metabolic acidosis was induced by infusion of isotonic lactic acid, 15 m mole/kg, intravenously over a pe       riod of 90 minutes. Serial arterial samples were taken and urine collected in fractions before, during and for three hours following        the infusion, for measurements of pH, bicarbonate, lactate and electrolytes as well as urine output. During the infusion, urine pH fe       ll from 6.65 to 6.25 and was 6.34 three hours later (Figs. 1 to 4, Tabs. III to IV). Lactic acid infusion caused a prompt increase in        urine output from a mean rate of 0.12 to a maximum of 0.28 ml/kg/min at the end of the infusion, returning to control rates three ho       urs later. Lactate excretion increased from 0.05 to a maximum of 4.6 mumole/kg/min at the end of infusion; titratable acid increased        from 0.22 to a maximum of 4 muEq/kg/min; the rates of excretion of lactate and titratable acid were still higher than control at the        end of three hours. Ammonia excretion increased from 0.21 to a maximum of 0.56 muEq/kg/min three hours after the end of infusion. The        acid infusion caused a small but significant fall in excretion of bicarbonate. During the 90 minutes of infusion and over the follow       ing three hours, about 800 mumole lactate was excreted while net acid excretion over the same period was no more than half that amoun       t. The diuresis was also accompanied by a net loss of sodium and chloride, the excretion of these ions increasing more than threefold        following acid infusion; excretion of potassium decreased to one-third its rate prior to the infusion. During the 90 minutes of infu       sion, blood pH fell from 7.36 to 7.13, base deficit rose from 3.8 to 16.4 mEq/L and lactate rose from 2.2 to 14.8 mM/L; there was als       o a small but significant rise in both blood PCO2 and PO2 (Figs. 1 to 2, Tabs. I to II). During the following three hours of recovery       , pH rose gradually to 7.29, base deficit and lactate fell to 7.4 mEq/L and 8.7 mM/L respectively. Since renal excretion of net acid        and lactate was small, the decrease in blood base deficit and lactate levels during the recovery must therefore be mainly due to equi       libration in various fetal compartments as well as placental transfer. These experiments indicate that, in the lamb fetus, intact in        utero, the kidney although limited by immaturity of several mechanisms, is capable of responding to an acid load and thus can make a        small contribution to fetal homeostasis. The increase in excretion of net acid is accompanied by loss of sodium and chloride in the u       rine. ",Acid-Base Equilibrium|||Acidosis|||Ammonia|||Animals|||Bicarbonates|||Diuresis|||Female|||Fetus|||Gestational Age|||Humans|||       Hydrogen-Ion Concentration|||Kidney|||Lactates|||Maternal-Fetal Exchange|||Phosphates|||Pregnancy|||Sheep,metabolism|||metabolism|||b       lood|||metabolism|||metabolism|||metabolism|||metabolism,"Comparative Study|||Journal Article|||Research Support, U.S. Gov't, P.H.S."       ,,"['Via', 'hydrogen ion', 'Electrolytes', 'Blood', 'phosphates', 'Excretion', 'LACTATE', 'ions', 'SODIUM CHLORIDE', 'Sheep', 'END',        'BICARBONATES', 'LACTIC ACID', 'AGE', 'bicarbonate', 'ammonia', 'Lamb', 'animals', 'ion', 'lactates', 'ACID', 'various', 'POTASSIUM',        'NET', 'hydrogen', 'ROSE', 'Urine', 'Control']","{'C3540763', 'C1456447', 'C2722020', 'C3540698', 'C0376261', 'C0022023', 'C0229664'       , 'C5702862', 'C0013832', 'C0042036', 'C2722820', 'C3714637', 'C3540761', 'C0064582', 'C0005367', 'C0005768', 'C0032821', 'C0973231',        'C3853572', 'C3540762', 'C3540008', 'C3540769', 'C0995005', 'C0162574', 'C0082420', 'C0033727', 'C0728976', 'C1442923', 'C0885426',        'C0308718', 'C3536863', 'C0002607', 'C0005767', 'C1610733', 'C0020275', 'C3540766', 'C3850088', 'C3540765', 'C2963137', 'C0304475', '       C1442922', 'C0876283', 'C0001128', 'C0037494', 'C0022924', 'C0031603', 'C0504085'}","['fetal', 'fetuses', 'in utero', 'fetus']",['fet       us'],"['fetal', 'in utero']",0,0,1,0,0,0,1,"{""Urine"": 5}",0.0,0.1282051282051282,0.0
